x_m,y_m
-1.681949702902641147e+06,-3.459252609760716441e+05
-1.681949814867660403e+06,-3.454257541233339580e+05
-1.682888628333516652e+06,-3.446337693655092153e+05
-1.683058489220151911e+06,-3.426193479486771976e+05
-1.684242606976738200e+06,-3.414811192983645597e+05
-1.685594300884322263e+06,-3.405813411783590564e+05
-1.686494165723297745e+06,-3.405817852747444413e+05
-1.687484176807399374e+06,-3.398772286343938904e+05
-1.688384873320550192e+06,-3.394279757976250257e+05
-1.689285300782189006e+06,-3.394292613252850133e+05
-1.690475859737040475e+06,-3.395529017070069676e+05
-1.692345673766011372e+06,-3.401379504599478096e+05
-1.693695731361160288e+06,-3.401389968073906493e+05
-1.694145110683719162e+06,-3.405897386905078893e+05
-1.695309445334641263e+06,-3.408037474284069613e+05
-1.696368408616609871e+06,-3.418553011895248783e+05
-1.697743621078241849e+06,-3.419454577635161695e+05
-1.697875224256219110e+06,-3.429561849787317333e+05
-1.698497738282266073e+06,-3.434572949535498046e+05
-1.698873070426862920e+06,-3.435821695249405457e+05
-1.701791014230178203e+06,-3.442011521363069187e+05
-1.702689543329169508e+06,-3.446528814356196672e+05
-1.702714469422287541e+06,-3.452008012197752832e+05
-1.703543965152856894e+06,-3.459791645246675471e+05
-1.703498049747886369e+06,-3.463857005155943916e+05
-1.703785013173928251e+06,-3.468031758222818607e+05
-1.705164692479132907e+06,-3.475920576426896732e+05
-1.706819172802590998e+06,-3.488761171168877045e+05
-1.708075183674792293e+06,-3.490497800915221451e+05
-1.708575196984781884e+06,-3.490495714432246168e+05
-1.709199881285103271e+06,-3.496751125948969275e+05
-1.709574910288280575e+06,-3.496749946391957928e+05
-1.710074839554383652e+06,-3.492999554792635026e+05
-1.710450144134247908e+06,-3.494250171003597789e+05
-1.710825192220868543e+06,-3.494247448516144650e+05
-1.711075332781673409e+06,-3.491748874753376003e+05
-1.711950103512689704e+06,-3.491757885233232519e+05
-1.712325072041305015e+06,-3.494251685600375058e+05
-1.712699698532892158e+06,-3.493001731599193299e+05
-1.713075335118813673e+06,-3.497997278301914921e+05
-1.713074586134294048e+06,-3.514252036519001122e+05
-1.713699893228862202e+06,-3.525494852562273736e+05
-1.713699495697307866e+06,-3.531754713382077171e+05
-1.712575440098115476e+06,-3.564246174334296957e+05
-1.711700298397669569e+06,-3.576752235075149219e+05
-1.711709840400734916e+06,-3.577804030270271469e+05
-1.713456233550524339e+06,-3.563489332321176189e+05
-1.714494309686191613e+06,-3.550188981832940481e+05
-1.716213623285890324e+06,-3.523263882064073696e+05
-1.717186819663078291e+06,-3.514829513461777824e+05
-1.718257335677985102e+06,-3.506719543651877902e+05
-1.718646614228860242e+06,-3.505421948482294101e+05
-1.720917405775632244e+06,-3.510287930368233938e+05
-1.721987921790539054e+06,-3.520668691724905511e+05
